20967,-67.649,-41.714
21968,-67.731,-41.668
22168,-67.62,-41.821
22368,-67.706,-41.698
22568,-67.712,-41.746
22768,-67.623,-41.779
22969,-67.708,-41.735
23169,-67.716,-41.764
23369,-67.703,-41.711
23569,-67.753,-41.746
23769,-67.763,-41.712
23970,-67.85,-41.629
24170,-67.742,-41.818
24370,-67.739,-41.67
24570,-67.868,-41.657
24770,-67.706,-41.795
24971,-67.728,-41.65
25171,-67.734,-41.657
25371,-67.543,-41.616
25571,-67.52,-41.478
25771,-67.406,-41.395
25972,-67.219,-41.205
26172,-66.999,-41.222
26372,-66.775,-40.947
26572,-66.69,-40.698
26772,-66.334,-40.681
26973,-66.058,-40.342
27173,-65.876,-40.122
27373,-65.423,-40.015
27573,-65.161,-39.615
27773,-64.845,-39.41
27974,-64.43,-39.104
28174,-64.086,-38.818
28374,-63.671,-38.53
28574,-63.243,-38.192
28774,-62.771,-37.966
28975,-62.321,-37.484
29175,-61.965,-37.152
29375,-61.377,-36.899
29575,-60.899,-36.425
29775,-60.468,-36.051
29976,-59.846,-35.748
30176,-59.41,-35.233
30376,-57.807,-34.265
30576,-57.252,-33.868
30776,-56.766,-33.442
30977,-56.24,-32.975
31177,-55.785,-32.455
31377,-55.121,-32.13
31577,-54.64,-31.673
31777,-54.395,-31.186
31978,-53.798,-30.952
32178,-53.463,-30.461
32378,-52.094,-30.092
32578,-51.544,-29.828
32778,-51.274,-29.487
32979,-50.876,-29.169
33179,-50.676,-28.937
33379,-50.425,-28.651
33579,-50.146,-28.398
33779,-49.94,-28.225
33980,-49.644,-28.07
34180,-49.501,-27.823
34380,-49.472,-27.671
34580,-49.251,-27.649
34780,-49.143,-27.518
34981,-48.94,-27.468
35181,-48.83,-27.391
35381,-48.869,-27.284
35581,-48.796,-27.249
35781,-48.795,-27.221
35982,-47.66,-27.317
36983,-49.288,-27.444
37183,-49.294,-27.57
37383,-49.336,-27.478
37583,-49.331,-27.474
37783,-49.335,-27.467
37984,-49.356,-27.489
38184,-49.256,-27.43
38384,-49.33,-27.437
38584,-49.267,-27.553
38784,-49.284,-27.426
38986,-49.412,-27.389
39186,-49.279,-27.542
39386,-49.341,-27.426
39586,-49.393,-27.474
39786,-49.333,-27.457
39987,-49.385,-27.45
40187,-49.364,-27.441
40387,-49.376,-27.433
40587,-49.435,-27.454
40787,-49.367,-27.43
40988,-49.447,-27.426
41188,-49.376,-27.535
41388,-49.396,-27.409
41588,-49.52,-27.387
41788,-49.356,-27.537
41989,-49.399,-27.406
42189,-49.419,-27.474
42389,-49.41,-27.465
42589,-49.429,-27.443
42789,-49.412,-27.459
42990,-49.446,-27.454
43190,-49.447,-27.489
43390,-49.395,-27.43
43590,-49.453,-27.476
43790,-49.368,-27.535
43991,-49.356,-27.306
44191,-49.384,-27.258
44391,-49.166,-27.365
44591,-49.14,-27.123
44791,-49.096,-27.013
44992,-48.867,-26.85
45192,-48.71,-26.642
45392,-48.573,-26.415
45592,-48.315,-26.153
45792,-48.086,-25.924
45993,-49.188,-22.893
46393,-47.307,-23.491
46593,-46.889,-23.006
46793,-46.737,-22.545
46994,-46.28,-22.155
47194,-45.906,-21.685
47394,-45.56,-21.226
47594,-45.163,-20.798
49396,-39.1,-17.796
49596,-38.286,-17.532
49796,-37.506,-17.235
49997,-36.855,-16.981
50197,-36.234,-16.691
50397,-35.375,-16.569
50597,-34.688,-16.477
